year,race,gestational_age_group,births,deaths,mortality_rate,birth_proportion
2013,Non-Hispanic Black,39-41 weeks,299376,904,3.0196141307252415,0.5154749585469122
2013,Non-Hispanic Black,42+ weeks,29566,104,3.5175539471014003,0.05090766335443724
2013,Non-Hispanic White,<28 weeks,10311,4111,398.70041703035594,0.004859470760228406
2013,Non-Hispanic White,28-31 weeks,18271,764,41.81489792567457,0.00861093882844857
2013,Non-Hispanic White,32-33 weeks,26701,455,17.040560278641248,0.012583913177078718
2013,Non-Hispanic White,34-36 weeks,154859,1120,7.232385589471713,0.07298349165534
2013,Non-Hispanic White,37-38 weeks,493626,1523,3.085331809912768,0.232640976965232
2013,Non-Hispanic White,39-41 weeks,1294636,2234,1.7255815534250554,0.6101489464784272
2013,Non-Hispanic White,42+ weeks,123432,276,2.236048998638927,0.05817226213524514
2014,Non-Hispanic Black,<28 weeks,8395,3345,398.4514592019059,0.015423082999886095
2014,Non-Hispanic Black,28-31 weeks,9900,438,44.24242424242424,0.018188031173183124
2014,Non-Hispanic Black,32-33 weeks,11690,195,16.680923866552607,0.021476574183283914
2014,Non-Hispanic Black,34-36 weeks,57670,484,8.39257846367262,0.10594987452095665
2014,Non-Hispanic Black,37-38 weeks,149653,592,3.9558177918250883,0.27493873021821963
2014,Non-Hispanic Black,39-41 weeks,278338,816,2.931687372906323,0.5113555778466106
2014,Non-Hispanic Black,42+ weeks,28668,107,3.7323845402539417,0.05266812905785999
2014,Non-Hispanic White,<28 weeks,9928,3886,391.4182111200645,0.00486013645391168
2014,Non-Hispanic White,28-31 weeks,17181,756,44.002095337873236,0.00841075789833366
2014,Non-Hispanic White,32-33 weeks,25382,419,16.50776140572059,0.012425461671352365
2014,Non-Hispanic White,34-36 weeks,149562,1098,7.341436996028403,0.07321633041095274
2014,Non-Hispanic White,37-38 weeks,473109,1426,3.0141045720964934,0.2316049856540795
2014,Non-Hispanic White,39-41 weeks,1248828,2068,1.655952621177616,0.6113491627181321
2014,Non-Hispanic White,42+ weeks,118751,300,2.526294515414607,0.05813316519323791
2015,Non-Hispanic Black,<28 weeks,8626,3276,379.7820542545792,0.015604958997635558
2015,Non-Hispanic Black,28-31 weeks,9882,495,50.09107468123862,0.0178771394406022
2015,Non-Hispanic Black,32-33 weeks,12273,229,18.658844618267743,0.0222026039622051
2015,Non-Hispanic Black,34-36 weeks,57882,492,8.500051829584326,0.10471206082786243
2015,Non-Hispanic Black,37-38 weeks,153612,682,4.439757310626774,0.2778934571695796
2015,Non-Hispanic Black,39-41 weeks,282569,882,3.121361508162608,0.5111845187807653
2015,Non-Hispanic Black,42+ weeks,27929,97,3.473092484514304,0.05052526082134981
2015,Non-Hispanic White,<28 weeks,9554,3690,386.2256646430815,0.004654822545243716
2015,Non-Hispanic White,28-31 weeks,17416,792,45.475424896646764,0.008485282546364303
2015,Non-Hispanic White,32-33 weeks,25448,418,16.425652310594153,0.012398568571421612
2015,Non-Hispanic White,34-36 weeks,149003,1089,7.308577679644034,0.07259603555672486
2015,Non-Hispanic White,37-38 weeks,476394,1464,3.073086562803058,0.23210482851358955
2015,Non-Hispanic White,39-41 weeks,1258989,2143,1.7021594310990802,0.6133944297062843
2015,Non-Hispanic White,42+ weeks,115691,304,2.6276892757431436,0.05636603256037165
2016,Non-Hispanic Black,<28 weeks,8594,3336,388.1777984640447,0.015469159780184571
2016,Non-Hispanic Black,28-31 weeks,10013,404,40.34754818735644,0.01802335313928184
2016,Non-Hispanic Black,32-33 weeks,12320,200,16.233766233766232,0.02217594234254991
2016,Non-Hispanic Black,34-36 weeks,59381,536,9.026456273892322,0.10688552209764254
2016,Non-Hispanic Black,37-38 weeks,155680,696,4.47070914696814,0.2802232714194943
2016,Non-Hispanic Black,39-41 weeks,282031,881,3.1237700820122614,0.5076544800983518
2016,Non-Hispanic Black,42+ weeks,27538,122,4.43024184762873,0.04956827112249508
2016,Non-Hispanic White,<28 weeks,9399,3631,386.3176933716353,0.004589108983404212
2016,Non-Hispanic White,28-31 weeks,17060,732,42.9073856975381,0.008329630732724316
2016,Non-Hispanic White,32-33 weeks,25209,454,18.00944107263279,0.012308420934422467
2016,Non-Hispanic White,34-36 weeks,150282,1150,7.6522803795531065,0.07337594172188017
2016,Non-Hispanic White,37-38 weeks,477143,1410,2.9550889356021153,0.23296746756765993
2016,Non-Hispanic White,39-41 weeks,1256331,2124,1.6906372604035083,0.6134099242716455
2016,Non-Hispanic White,42+ weeks,112686,257,2.2806737305432794,0.055019505788263326
2017,Non-Hispanic Black,<28 weeks,8504,3145,369.82596425211665,0.015241536412826263
2017,Non-Hispanic Black,28-31 weeks,10257,458,44.65243248513211,0.018383400633391223
2017,Non-Hispanic Black,32-33 weeks,12561,199,15.842687684101586,0.022512810310619788
2017,Non-Hispanic Black,34-36 weeks,61645,503,8.159623651553249,0.11048500848643872
2017,Non-Hispanic Black,37-38 weeks,158960,726,4.567186713638652,0.284900591272679
2017,Non-Hispanic Black,39-41 weeks,278964,864,3.097173828881146,0.49998118107568973
2017,Non-Hispanic Black,42+ weeks,27058,111,4.102298765614606,0.04849547180835524
2017,Non-Hispanic White,<28 weeks,8946,3383,378.15783590431477,0.004506133600363472
2017,Non-Hispanic White,28-31 weeks,16587,685,41.297401579550254,0.008354933828440523
2017,Non-Hispanic White,32-33 weeks,24387,393,16.11514331406077,0.01228382295015247
2017,Non-Hispanic White,34-36 weeks,148418,1091,7.350860407767252,0.07475870072644153
2017,Non-Hispanic White,37-38 weeks,473475,1361,2.87449178942922,0.23849112524391852
2017,Non-Hispanic White,39-41 weeks,1206680,1950,1.616004243047038,0.6078092212035094
2017,Non-Hispanic White,42+ weeks,106801,265,2.481250175560154,0.053796062447174074
2018,Non-Hispanic Black,<28 weeks,8248,2998,363.48205625606204,0.015013315033883713
2018,Non-Hispanic Black,28-31 weeks,10039,444,44.227512700468175,0.0182733595568815
2018,Non-Hispanic Black,32-33 weeks,12627,219,17.343787122832026,0.022984132993798454
2018,Non-Hispanic Black,34-36 weeks,61430,533,8.676542405990558,0.11181716083068337
