year,cause_of_death,composition_effect,rate_effect,gap,composition_lo,composition_hi,rate_lo,rate_hi,gap_lo,gap_hi
2011,Hemorrhage,0.14473064949251868,-0.06298854485005698,0.0817421046424617,0.12681067104416235,0.16099602957830172,-0.0992276829657795,-0.026784537313131965,0.04384141074500387,0.1223778440602767
2011,Necrotizing enterocolitis,0.12965267493103327,0.044980691003086624,0.1746333659341199,0.1139187536888923,0.14559366302799284,0.00981966907760922,0.07827878576952665,0.13349695205783335,0.21655446937747105
2011,Congenital malformations,0.4800115111985005,-0.06670605494300288,0.41330545625549764,0.4517120296059103,0.5086091532692343,-0.17946224825854223,0.042299486563299106,0.30054316491217625,0.5220438993771012
2011,SIDS (R95),0.04978329727029246,0.3165735666323331,0.36635686390262556,0.03911616668505417,0.05967146325261907,0.23824830662540902,0.39273105231349403,0.28625796607337783,0.444116429656149
2011,Ill-defined/unspecified (R99),0.03776342621492841,0.19742704995641072,0.23519047617133915,0.02859744249527177,0.04773843728402475,0.1428116340738179,0.2557532601104783,0.180310123237123,0.2952157984205362
2011,Unintentional injuries,0.012768595569579815,0.09006696346707475,0.10283555903665456,0.006900228586686868,0.01950495341620788,0.04926903712721482,0.1323733994032365,0.06250004790042758,0.14486050606451328
2011,Accidental suffocation in bed (W75),0.013172866376300833,0.16630812195549166,0.1794809883317925,0.006800490479778231,0.01934726029959669,0.11915619622927122,0.21168894801086632,0.13280321072800938,0.2269172882266089
2011,Assault (homicide),0.009226368027900642,0.08239620709659293,0.09162257512449357,0.004945171505350418,0.013806139227733369,0.050088944718513904,0.11794486304506911,0.05949210511692846,0.12775069333152766
2012,Infection,0.3470481181543764,0.1221039999748102,0.4691521181291866,0.32171270841794775,0.3728626244869186,0.05980690938824214,0.18822386060854446,0.3974608295361763,0.5403264186196731
2012,Other,0.9217296094554727,0.06173731966313222,0.9834669291186049,0.8839746184019588,0.9664417974358785,-0.0419956665879971,0.16769449403933342,0.8688874285243529,1.104488625651506
2012,Circulatory diseases,0.0676937670102495,0.06131288546744028,0.12900665247768978,0.05546824221755885,0.07968645508938751,0.024352663336192112,0.10207639033444589,0.08918941631740336,0.1727545196789131
2012,Maternal complications,0.5385744398824006,-0.05233570353720399,0.48623873634519665,0.5064700429662946,0.5715722493056906,-0.11465666151073817,0.009427760368635506,0.41632673481469334,0.5559943118137479
2012,Placenta/cord/membranes,0.32047412614530024,-0.02327510354083847,0.2971990226044618,0.29520720665649164,0.3460362673683812,-0.07649569243476795,0.028219571269445767,0.2419735719225664,0.35536739292509006
2012,Short gestation/LBW,1.62426105657274,0.17113980704013632,1.7954008636128762,1.5657808488844842,1.6846205859845462,0.06310941950702974,0.2897727193149322,1.669999841148244,1.9335106854976647
2012,Hypoxia and birth asphyxia,0.05961055735924976,-0.0038057072426949615,0.055804850116554804,0.049135770688099184,0.07064479167957216,-0.032746991901138826,0.02689573382514205,0.02555296403739756,0.08919917457528256
2012,Respiratory distress,0.19557276710519658,-0.025655201293733318,0.16991756581146328,0.1766203968574996,0.2154535001153166,-0.06955508784393541,0.012883807198647446,0.125065270826033,0.2141192441147558
2012,Hemorrhage,0.12234687889908763,-0.07735622305143418,0.04499065584765345,0.10677361656754172,0.13775106426834158,-0.10967594676633649,-0.04247097265198859,0.014103818640713145,0.08120237083750365
2012,Necrotizing enterocolitis,0.10546219486435644,0.010376212691663623,0.11583840755602007,0.09187253323774691,0.11964288654890945,-0.022475094088782722,0.04350723589073337,0.07993978657607868,0.152069933970408
2012,Congenital malformations,0.4459210309250847,-0.12422370618052832,0.3216973247445564,0.4179721593198817,0.47238751851899163,-0.2311655150968723,-0.024513188481432358,0.21054983960163623,0.42578939352407835
2012,SIDS (R95),0.04177546879230931,0.2972858124648724,0.3390612812571817,0.03113618797252048,0.052295761896200214,0.22646040786183455,0.3683573946572321,0.2641255049019064,0.41289484681259886
2012,Ill-defined/unspecified (R99),0.05059646300217083,0.3224689947329748,0.37306545773514566,0.039814025930091174,0.061363002430636665,0.2623953499510046,0.3833108616355822,0.30941876962745596,0.4378097145960899
2012,Unintentional injuries,0.009724550929555336,0.08526824962997327,0.0949928005595286,0.004711185133278275,0.014747680548260806,0.04925501265361968,0.1229299243263033,0.057839955282786196,0.1332427494241315
2012,Accidental suffocation in bed (W75),0.014819432380517021,0.19601227191145196,0.21083170429196899,0.008830022432670686,0.021301704281711055,0.14446216172900955,0.2462545882031999,0.1610654918328173,0.2622481552585651
2012,Assault (homicide),0.005949251062981876,0.07979367786921707,0.08574292893219894,0.0020167137792370233,0.010297354844157842,0.046808953463594365,0.1131014675624916,0.05203063893536451,0.11787592197496323
2013,Infection,0.3212599334256282,0.1283652374907469,0.4496251709163751,0.29667680087681964,0.3461568144923891,0.06867269511644744,0.1925055288182404,0.37744833976620074,0.5221553721169003
2013,Other,0.9593934011905322,0.09312044368930156,1.0525138448798337,0.9120792480463576,1.0035618974162648,-0.026091519985327594,0.19968549834214466,0.9241164898883658,1.1634927184631325
